timestamp,vehicle_count,hour,day_of_week,is_weekend,is_morning,is_exam_week
2023-09-01 05:00:00,1,5,4,0,1,0
2023-09-01 06:00:00,23,6,4,0,1,0
2023-09-01 07:00:00,65,7,4,0,1,0
2023-09-01 08:00:00,79,8,4,0,1,0
2023-09-01 09:00:00,64,9,4,0,1,0
2023-09-01 10:00:00,52,10,4,0,1,0
2023-09-01 11:00:00,44,11,4,0,1,0
2023-09-01 12:00:00,49,12,4,0,0,0
2023-09-01 13:00:00,63,13,4,0,0,0
2023-09-01 14:00:00,54,14,4,0,0,0
2023-09-01 15:00:00,41,15,4,0,0,0
2023-09-01 16:00:00,34,16,4,0,0,0
2023-09-01 17:00:00,30,17,4,0,0,0
2023-09-01 18:00:00,24,18,4,0,0,0
2023-09-01 19:00:00,20,19,4,0,0,0
2023-09-01 20:00:00,16,20,4,0,0,0
2023-09-01 21:00:00,12,21,4,0,0,0
2023-09-01 22:00:00,12,22,4,0,0,0
2023-09-01 23:00:00,11,23,4,0,0,0
2023-09-02 00:00:00,10,0,5,1,1,0
2023-09-02 01:00:00,8,1,5,1,1,0
2023-09-02 02:00:00,7,2,5,1,1,0
2023-09-02 03:00:00,7,3,5,1,1,0
2023-09-02 04:00:00,6,4,5,1,1,0
2023-09-02 05:00:00,7,5,5,1,1,0
2023-09-02 06:00:00,27,6,5,1,1,0
2023-09-02 07:00:00,65,7,5,1,1,0
2023-09-02 08:00:00,81,8,5,1,1,0
2023-09-02 09:00:00,71,9,5,1,1,0
2023-09-02 10:00:00,64,10,5,1,1,0
2023-09-02 11:00:00,61,11,5,1,1,0
2023-09-02 12:00:00,71,12,5,1,0,0
2023-09-02 13:00:00,76,13,5,1,0,0
2023-09-02 14:00:00,68,14,5,1,0,0
2023-09-02 15:00:00,55,15,5,1,0,0
2023-09-02 16:00:00,44,16,5,1,0,0
2023-09-02 17:00:00,41,17,5,1,0,0
2023-09-02 18:00:00,37,18,5,1,0,0
2023-09-02 19:00:00,32,19,5,1,0,0
2023-09-02 20:00:00,27,20,5,1,0,0
2023-09-02 21:00:00,21,21,5,1,0,0
2023-09-02 22:00:00,17,22,5,1,0,0
2023-09-02 23:00:00,17,23,5,1,0,0
2023-09-03 00:00:00,17,0,6,1,1,0
2023-09-03 01:00:00,17,1,6,1,1,0
2023-09-03 02:00:00,17,2,6,1,1,0
2023-09-03 03:00:00,16,3,6,1,1,0
2023-09-03 04:00:00,14,4,6,1,1,0
2023-09-03 05:00:00,15,5,6,1,1,0
2023-09-03 06:00:00,35,6,6,1,1,0
2023-09-03 07:00:00,77,7,6,1,1,0
2023-09-03 08:00:00,87,8,6,1,1,0
2023-09-03 09:00:00,71,9,6,1,1,0
2023-09-03 10:00:00,57,10,6,1,1,0
2023-09-03 11:00:00,51,11,6,1,1,0
2023-09-03 12:00:00,65,12,6,1,0,0
2023-09-03 13:00:00,83,13,6,1,0,0
2023-09-03 14:00:00,75,14,6,1,0,0
2023-09-03 15:00:00,59,15,6,1,0,0
2023-09-03 16:00:00,47,16,6,1,0,0
2023-09-03 17:00:00,42,17,6,1,0,0
2023-09-03 18:00:00,33,18,6,1,0,0
2023-09-03 19:00:00,25,19,6,1,0,0
2023-09-03 20:00:00,23,20,6,1,0,0
2023-09-03 21:00:00,22,21,6,1,0,0
2023-09-03 22:00:00,21,22,6,1,0,0
